track_name,popularity,artists_names,artist_genres,danceability,energy,liked
Cruel Summer,100,Taylor Swift,pop,0.552,0.702,like
Seven (feat. Latto) (Explicit Ver.),99,Jung Kook;Latto,k-pop,0.802,0.832,dislike
LALA,99,Myke Towers,reggaeton;trap latino;urbano latino,0.708,0.737,like
"What Was I Made For? [From The Motion Picture ""Barbie""]",98,Billie Eilish,art pop;electropop;pop,0.444,0.0911,like
Dance The Night - From Barbie The Album,97,Dua Lipa,dance pop;pop;uk pop,0.671,0.845,like
vampire,97,Olivia Rodrigo,pop,0.511,0.532,dislike
Columbia,97,Quevedo,rap canario;trap latino;urbano latino,0.668,0.712,like
Sprinter,96,Dave;Central Cee,uk hip hop,0.916,0.583,like
Paint The Town Red,96,Doja Cat,dance pop;pop,0.868,0.538,like
Daylight,96,David Kushner,gen z singer-songwriter,0.508,0.43,dislike
fukumean,96,Gunna,atl hip hop;melodic rap;rap;trap,0.847,0.622,like
WHERE SHE GOES,96,Bad Bunny,reggaeton;trap latino;urbano latino,0.652,0.8,like
Super Shy,95,NewJeans,k-pop;k-pop girl group,0.776,0.817,like
Classy 101,95,Feid;Young Miko,colombian pop;pop reggaeton;reggaeton colombiano;trap latino;urbano latino,0.859,0.658,like
Barbie World (with Aqua) [From Barbie The Album],95,Nicki Minaj;Ice Spice;Aqua,hip pop;pop;queens hip hop;rap,0.77,0.58,dislike
La Bebe - Remix,95,Yng Lvcas;Peso Pluma,reggaeton,0.812,0.479,like
LADY GAGA,94,Peso Pluma;Gabito Ballesteros;Junior H,corridos tumbados;sad sierreno,0.646,0.736,dislike
(It Goes Like) Nanana - Edit,94,Peggy Gou,electra;float house,0.671,0.876,dislike
Flowers,94,Miley Cyrus,pop,0.707,0.681,dislike
FE!N (feat. Playboi Carti),94,Travis Scott;Playboi Carti,hip hop;rap;slap house,0.569,0.882,like
I Wanna Be Yours,94,Arctic Monkeys,garage rock;modern rock;permanent wave;rock;sheffield indie,0.464,0.417,dislike
MELTDOWN (feat. Drake),94,Travis Scott;Drake,hip hop;rap;slap house,0.557,0.774,like
Love Me Again,94,V,j-division;korean ost,0.633,0.607,dislike
Cupid - Twin Ver.,94,FIFTY FIFTY,k-pop girl group,0.783,0.592,dislike
Like Crazy,94,Jimin,k-pop,0.629,0.733,dislike
I'm Good (Blue),93,David Guetta;Bebe Rexha,big room;dance pop;edm;pop;pop dance,0.561,0.965,dislike
Creepin' (with The Weeknd & 21 Savage),93,Metro Boomin;The Weeknd;21 Savage,rap,0.715,0.62,dislike
See You Again (feat. Kali Uchis),93,"Tyler, The Creator;Kali Uchis",hip hop;rap,0.558,0.559,dislike
Seven (feat. Latto) (Clean Ver.),93,Jung Kook;Latto,k-pop,0.776,0.831,dislike
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,93,The Weeknd;Playboi Carti;Madonna,canadian contemporary r&b;canadian pop;pop,0.855,0.678,dislike
TULUM,93,Peso Pluma;Grupo Frontera,corridos tumbados;sad sierreno,0.557,0.866,like
I KNOW ?,93,Travis Scott,hip hop;rap;slap house,0.927,0.619,like
august,93,Taylor Swift,pop,0.532,0.623,dislike
BESO,93,ROSALÍA;Rauw Alejandro,pop;r&b en espanol,0.768,0.644,dislike
Clean White Noise - Loopable with no fade,93,White Noise Baby Sleep;White Noise for Babies,sleep,0.0,0.00342,dislike
Rainy Days,93,V,j-division;korean ost,0.633,0.454,like
un x100to,93,Grupo Frontera;Bad Bunny,musica chihuahuense,0.569,0.724,dislike
Anti-Hero,93,Taylor Swift,pop,0.637,0.643,like
Blinding Lights,92,The Weeknd,canadian contemporary r&b;canadian pop;pop,0.514,0.73,like
MOJABI GHOST,92,Tainy;Bad Bunny,pop reggaeton;reggaeton;trap latino;urbano latino,0.805,0.707,like
Kill Bill,92,SZA,pop;r&b;rap,0.644,0.735,like
Calm Down (with Selena Gomez),92,Rema;Selena Gomez,afrobeats;nigerian pop,0.801,0.806,like
TQG,92,KAROL G;Shakira,reggaeton;reggaeton colombiano;trap latino;urbano latino,0.72,0.63,dislike
Starboy,92,The Weeknd;Daft Punk,canadian contemporary r&b;canadian pop;pop,0.679,0.587,dislike
SABOR FRESA,92,Fuerza Regida,corrido;corridos tumbados;sad sierreno;sierreno,0.785,0.863,dislike
Baby Don't Hurt Me,92,David Guetta;Anne-Marie;Coi Leray,big room;dance pop;edm;pop;pop dance,0.602,0.91,dislike
Ella Baila Sola,92,Eslabon Armado;Peso Pluma,corrido;corridos tumbados;sad sierreno;sierreno,0.668,0.758,dislike
K-POP,92,Travis Scott;Bad Bunny;The Weeknd,hip hop;rap;slap house,0.814,0.618,like
"Peso Pluma: Bzrp Music Sessions, Vol. 55",92,Bizarrap;Peso Pluma,argentine hip hop;pop venezolano;trap argentino;trap latino;urbano latino,0.854,0.668,dislike
Angels Like You,92,Miley Cyrus,pop,0.672,0.642,dislike
