track_name,popularity,artists_names,artist_genres,danceability,energy
True Colors,73,Cyndi Lauper,dance pop;new wave pop;permanent wave;soft rock,0.397,0.207
Paul Revere,61,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,0.883,0.553
Brass Monkey,68,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,0.914,0.586
Shot in the Dark,66,Ozzy Osbourne,album rock;alternative metal;birmingham metal;classic rock;glam metal;hard rock;metal;nu metal;rock,0.581,0.791
Manic Monday,63,The Bangles,album rock;jangle pop;mellow gold;new romantic;new wave;new wave pop;paisley underground;singer-songwriter;soft rock,0.685,0.594
Take Me Home Tonight,72,Eddie Money,album rock;classic rock;country rock;glam metal;hard rock;mellow gold;soft rock;southern rock,0.608,0.768
Bigmouth Strikes Again - 2011 Remaster,74,The Smiths,madchester;new wave;permanent wave;rock;uk post-punk,0.401,0.901
Higher Love,67,Steve Winwood,album rock;classic rock;folk rock;heartland rock;mellow gold;singer-songwriter;soft rock,0.696,0.78
Invisible Touch - 2007 Remaster,65,Genesis,album rock;art rock;classic rock;hard rock;mellow gold;progressive rock;rock;soft rock;symphonic rock,0.617,0.931
Push It,71,Salt-N-Pepa,girl group;golden age hip hop;hip hop;hip pop;old school hip hop;queens hip hop,0.913,0.596
You Give Love A Bad Name,84,Bon Jovi,glam metal;rock,0.541,0.96
"Sea, Swallow Me",73,Cocteau Twins;Harold Budd,alternative rock;art pop;dream pop;ethereal wave;melancholia;new wave;scottish indie;shoegaze;synthpop,0.454,0.673
Que Locura Enamorarme De Ti,73,Eddie Santiago,salsa;salsa puertorriquena;tropical,0.746,0.786
In Your Eyes - 2012 Remaster,60,Peter Gabriel,album rock;art rock;classic rock;mellow gold;new romantic;new wave;permanent wave;progressive rock;rock;singer-songwriter;soft rock,0.621,0.645
Diggin' Up Bones,64,Randy Travis,contemporary country;country;country gospel;country road,0.708,0.577
La Isla Bonita,73,Madonna,dance pop;pop,0.724,0.822
You Can Call Me Al,78,Paul Simon,classic rock;folk;folk rock;mellow gold;permanent wave;rock;singer-songwriter;soft rock,0.776,0.763
Girls,62,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,0.873,0.808
Why Can't This Be Love,69,Van Halen,album rock;classic rock;hard rock;rock,0.531,0.626
Wanted Dead Or Alive,77,Bon Jovi,glam metal;rock,0.252,0.802
Sledgehammer - 2012 Remaster,61,Peter Gabriel,album rock;art rock;classic rock;mellow gold;new romantic;new wave;permanent wave;progressive rock;rock;singer-songwriter;soft rock,0.641,0.682
Bizarre Love Triangle,68,New Order,dance rock;madchester;new romantic;new wave;permanent wave;post-punk;synthpop;uk post-punk,0.613,0.885
(I Just) Died In Your Arms,79,Cutting Crew,album rock;new romantic;new wave;new wave pop;soft rock,0.625,0.726
Walk Like an Egyptian,60,The Bangles,album rock;jangle pop;mellow gold;new romantic;new wave;new wave pop;paisley underground;singer-songwriter;soft rock,0.711,0.833
The Way It Is,71,Bruce Hornsby;The Range,album rock;heartland rock;mellow gold;piano rock;singer-songwriter;soft rock,0.582,0.689
Don't Dream It's Over,78,Crowded House,australian rock;permanent wave,0.439,0.422
Battery (Remastered),62,Metallica,hard rock;metal;old school thrash;rock;thrash metal,0.48,0.923
Master of Puppets (Remastered),74,Metallica,hard rock;metal;old school thrash;rock;thrash metal,0.539,0.828
Livin' On A Prayer,87,Bon Jovi,glam metal;rock,0.532,0.887
The Lady In Red,78,Chris de Burgh,new wave pop;soft rock,0.548,0.294
Glory of Love,75,Peter Cetera,soft rock,0.52,0.61
Only You (And You Alone),68,The Platters,adult standards;easy listening;rock-and-roll;rockabilly,0.419,0.331
Dancing On The Ceiling,72,Lionel Richie,soft rock,0.698,0.774
Talk Dirty To Me,63,Poison,album rock;glam metal;hard rock;rock,0.491,0.957
"Holding Out for a Hero - From ""Footloose"" Soundtrack",76,Bonnie Tyler,europop;new wave pop;soft rock,0.616,0.685
I Know It's Over - 2011 Remaster,70,The Smiths,madchester;new wave;permanent wave;rock;uk post-punk,0.407,0.424
West End Girls - 2018 Remaster,73,Pet Shop Boys,dance rock;new romantic;new wave;new wave pop;permanent wave;synthpop,0.656,0.914
Who Made Who,71,AC/DC,australian rock;hard rock;rock,0.514,0.825
Reflections,69,Toshifumi Hinata,japanese soundtrack,0.224,0.146
Fight For Your Right,73,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,0.503,0.858
There Is a Light That Never Goes Out - 2011 Remaster,81,The Smiths,madchester;new wave;permanent wave;rock;uk post-punk,0.523,0.769
No Sleep Till Brooklyn,75,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,0.712,0.691
It's Tricky,72,Run–D.M.C.,east coast hip hop;golden age hip hop;hip hop;old school hip hop;queens hip hop;rap,0.965,0.857
Keep Your Hands to Yourself,66,The Georgia Satellites,album rock;classic rock;country rock;hard rock;heartland rock;southern rock,0.577,0.807
The Final Countdown,79,Europe,album rock;glam metal;hard rock;rock;swedish hard rock;swedish melodic rock,0.529,0.843
Kiss,76,Prince,funk;funk rock;minneapolis sound;rock;synth funk,0.898,0.271
Raining Blood,66,Slayer,alternative metal;death metal;groove metal;hard rock;metal;nu metal;old school thrash;rock;speed metal;thrash metal,0.294,0.995
Walk This Way (feat. Aerosmith),71,Run–D.M.C.;Aerosmith,east coast hip hop;golden age hip hop;hip hop;old school hip hop;queens hip hop;rap,0.761,0.711
Hip To Be Square,67,Huey Lewis & The News,album rock;classic rock;hard rock;mellow gold;new romantic;new wave pop;rock;singer-songwriter;soft rock,0.668,0.779
Guitar Town,63,Steve Earle,alternative country;classic texas country;country rock;folk;heartland rock;outlaw country;roots rock;singer-songwriter,0.661,0.496
Back In The High Life Again,59,Steve Winwood,album rock;classic rock;folk rock;heartland rock;mellow gold;singer-songwriter;soft rock,0.603,0.503
Shake Me,60,Cinderella,album rock;glam metal;hard rock,0.537,0.9
Orion (Remastered),56,Metallica,hard rock;metal;old school thrash;rock;thrash metal,0.367,0.672
Peace Sells - Remastered,66,Megadeth,alternative metal;hard rock;melodic thrash;metal;nu metal;old school thrash;rock;speed metal;thrash metal,0.322,0.932
Modern Day Cowboy,58,Tesla,album rock;glam metal;hard rock;sacramento indie,0.445,0.768
Unloveable - 2017 Master,61,The Smiths,madchester;new wave;permanent wave;rock;uk post-punk,0.624,0.516
Angel Of Death,60,Slayer,alternative metal;death metal;groove metal;hard rock;metal;nu metal;old school thrash;rock;speed metal;thrash metal,0.332,0.994
Papa Don't Preach,67,Madonna,dance pop;pop,0.833,0.934
Throwing It All Away - 2007 Remaster,56,Genesis,album rock;art rock;classic rock;hard rock;mellow gold;progressive rock;rock;soft rock;symphonic rock,0.377,0.606
Cities In Dust,61,Siouxsie and the Banshees,alternative rock;dream pop;new romantic;new wave;post-punk;punk;uk post-punk,0.561,0.974
Never Say Goodbye,69,Bon Jovi,glam metal;rock,0.326,0.797
I'll Be Over You,73,TOTO,album rock;classic rock;hard rock;mellow gold;rock;soft rock;yacht rock,0.515,0.277
Nobody's Fool,64,Cinderella,album rock;glam metal;hard rock,0.367,0.445
Where Eagles Dare,62,Misfits;Glenn Danzig,horror punk;new jersey hardcore;new jersey punk;punk,0.282,0.943
Candy,61,Cameo,disco;funk;motown;new jack swing;p funk;popping;post-disco;quiet storm;soul,0.705,0.709
Brother Louie,75,Modern Talking,europop;synthpop,0.783,0.836
"Say You, Say Me",73,Lionel Richie,soft rock,0.636,0.405
Diamonds on the Soles of Her Shoes,63,Paul Simon,classic rock;folk;folk rock;mellow gold;permanent wave;rock;singer-songwriter;soft rock,0.791,0.677
Pachelbel: Canon and Gigue for Three Violins and Continuo in D Major: Canon,59,Johann Pachelbel;Sir Neville Marriner;Academy of St. Martin in the Fields,baroque;classical;german baroque,0.128,0.132
Me cuesta tanto olvidarte,75,Mecano,cantautor;latin alternative;latin pop;rock en espanol;spanish pop;spanish pop rock,0.516,0.228
I'm No Angel,55,The Gregg Allman Band,album rock;blues rock;classic rock;country rock;heartland rock;mellow gold;singer-songwriter;soft rock;southern rock,0.621,0.773
Country State Of Mind,57,"Hank Williams, Jr.",country;country rock;outlaw country,0.711,0.626
On the Other Hand,60,Randy Travis,contemporary country;country;country gospel;country road,0.657,0.415
Call Me,64,Gigi Masin,fourth world,0.436,0.359
El ataque de las chicas cocodrilo,75,Hombres G,latin alternative;latin pop;mexican pop;rock en espanol;spanish rock,0.506,0.809
Amanda,65,Boston,album rock;classic rock;glam metal;hard rock;mellow gold;rock;soft rock,0.449,0.424
Word Up,67,Cameo,disco;funk;motown;new jack swing;p funk;popping;post-disco;quiet storm;soul,0.878,0.84
Love Walks In,58,Van Halen,album rock;classic rock;hard rock;rock,0.2,0.434
Dreams,62,Van Halen,album rock;classic rock;hard rock;rock,0.455,0.758
Venus,68,Bananarama,girl group;hi-nrg;new romantic;new wave;new wave pop;soft rock,0.722,0.961
The Great Pretender,64,The Platters,adult standards;easy listening;rock-and-roll;rockabilly,0.425,0.401
Somebody Save Me,59,Cinderella,album rock;glam metal;hard rock,0.56,0.716
You Shook Me All Night Long,67,AC/DC,australian rock;hard rock;rock,0.529,0.768
Cemetry Gates - 2011 Remaster,64,The Smiths,madchester;new wave;permanent wave;rock;uk post-punk,0.55,0.796
Two of Hearts,63,Stacey Q,freestyle;hi-nrg,0.824,0.506
Don't Get Me Wrong - 2007 Remaster,66,Pretenders,album rock;classic rock;mellow gold;new romantic;new wave;new wave pop;permanent wave;rock;soft rock,0.46,0.932
Wasted Years - 2015 Remaster,57,Iron Maiden,alternative metal;hard rock;metal;nwobhm;rock,0.314,0.959
Some Girls Are Bigger Than Others - 2011 Remaster,65,The Smiths,madchester;new wave;permanent wave;rock;uk post-punk,0.525,0.927
A Kind Of Magic - Remastered 2011,58,Queen,classic rock;glam rock;rock,0.671,0.775
Graceland,64,Paul Simon,classic rock;folk;folk rock;mellow gold;permanent wave;rock;singer-songwriter;soft rock,0.732,0.705
Que Te Han Visto Llorar,65,Bronco,grupera;gruperas inmortales;musica mexicana;norteno;ranchera,0.616,0.464
Hasta Que Te Conocí,70,Juan Gabriel,cancion melodica;latin pop;mariachi;musica mexicana;ranchera,0.322,0.214
Land of Confusion - 2007 Remaster,57,Genesis,album rock;art rock;classic rock;hard rock;mellow gold;progressive rock;rock;soft rock;symphonic rock,0.613,0.928
On My Own,63,Patti LaBelle,contemporary r&b;philly soul;quiet storm;r&b;soul;urban contemporary,0.62,0.402
La Muralla Verde,76,Los Enanitos Verdes,argentine rock;latin alternative;latin pop;latin rock;mexican pop;rock en espanol;ska argentino,0.717,0.837
Se Me Olvidó Otra Vez,66,Juan Gabriel,cancion melodica;latin pop;mariachi;musica mexicana;ranchera,0.547,0.0862
Stuck With You,65,Huey Lewis & The News,album rock;classic rock;hard rock;mellow gold;new romantic;new wave pop;rock;singer-songwriter;soft rock,0.704,0.544
Welcome Home (Sanitarium) (Remastered),60,Metallica,hard rock;metal;old school thrash;rock;thrash metal,0.309,0.767
